지자체,지역구,지점명,도로명,발생건수,사망자수,보 기,MOTOCY_CNT,CYCLE_CNT,WALK_CNT,DRK
서울,동대문구,제기사거리(제기동 799번지),서울 동대문구 제기동,10,0,,1,2,0,0
서울,동대문구,배봉초 사거리(남동),서울 동대문구 사가정로 207,11,0,,0,0,0,2
서울,동대문구,동대문중 사거리(남쪽),서울 동대문구 답십리로 130,8,0,,2,3,0,0
서울,동대문구,청량리동주민센터 부근,서울 동대문구 왕산로43다길 5,10,0,,2,0,0,1
서울,동대문구,클래식타워 앞 교차로,서울 동대문구 천호대로 307,9,0,,0,2,0,0
서울,동대문구,용신동주민센터 부근(동쪽),서울 동대문구 천호대로27길 35,9,0,,0,1,0,0
서울,동대문구,전농119안전센터 앞 사거리,서울 동대문구 황물로 3,9,0,,2,1,0,0
서울,동대문구,한국외대 부근 삼거리,서울 동대문구 이문로 107,5,2,,1,0,0,0
서울,동작구,상도역사거리,서울 동작구 상도로 지하 272,30,0,,2,0,0,0
서울,동작구,한강대교 남단 사거리,서울 동작구 본동,22,1,,2,0,0,1
서울,동작구,성대시장 앞 삼거리(북동),서울 동작구 국사봉1길 41,16,0,,1,0,0,0
서울,동작구,대림사거리(대림우체국 남동),서울 영등포구 대림로 85,15,0,,0,3,0,0
서울,동작구,이수역 부근(10번출구 서쪽),서울 동작구 사당로 지하 310,11,0,,0,0,0,0
서울,동작구,숭실대입구역 부근(북쪽),서울 동작구 상도로 지하 378,16,0,,4,0,0,0
서울,동작구,노량진삼거리(노량진역),서울 동작구 노량진로 151,12,0,,1,0,0,0
서울,동작구,사당역사거리(사당역 앞),서울 동작구 남부순환로 지하 2089,9,0,,2,0,0,0
서울,동작구,중앙하이츠빌 부근(110동),서울 동작구 상도로 320,6,0,,0,0,0,0
서울,동작구,상도3동주민센터 앞 삼거리,서울 동작구 성대로2길 11,16,0,,0,0,0,0
서울,동작구,노량진119안전센터 앞 삼거리,서울 동작구 노량진로 187,5,0,,2,0,0,1
서울,동작구,신대방삼거리역,서울 동작구 상도로 지하 76,17,0,,1,3,0,0
서울,동작구,국립현충원 삼거리(분수대앞),서울 동작구 현충로 210,11,0,,0,0,0,0
서울,동작구,숭실대입구역삼거리,서울 동작구 상도로 지하 378,7,1,,2,0,0,1
서울,동작구,남성지구대 앞 삼거리,서울 동작구 동작대로43길 22,8,1,,2,0,0,2
서울,동작구,중앙대학교병원 앞 사거리,서울 동작구 흑석로 102,9,1,,0,0,0,0
