"지점명","위치","발생건수","사망자수","보 기","MOTOCY_CNT","CYCLE_CNT","WALK_CNT","DRK"
"디지털단지 오거리(가산파출소)","서울 구로구 가리봉동 121-50","5","0","","0","1","0","0"
"독산사거리(롯데마트 금천점)","서울 금천구 독산동 152-12","5","1","","0","0","0","0"
"문성지구대 삼거리(북서)","서울 금천구 독산동 185-4","5","1","","0","0","0","0"
"현대지식산업센터삼거리(남쪽)","서울 금천구 독산동 294-8","7","0","","1","0","0","0"
"시흥사거리(금천지구대 동쪽)","서울 금천구 시흥동 1000-48","5","1","","2","0","0","0"
"남부여성발전센터 부근(북서)","서울 금천구 시흥동 1000-158","7","0","","0","0","0","0"
"금천우체국사거리(남쪽)","서울 금천구 독산동 287-8","7","0","","1","0","0","0"
"금천교사거리(하안대교 서단)","서울 금천구 독산동 1085","6","0","","1","0","0","0"
"시흥4동주민센터 삼거리(북서)","서울 금천구 시흥동 1000-25","4","1","","1","0","0","0"
"구로전화국사거리(KT구로 남쪽)","서울 금천구 독산동 996","6","0","","1","1","0","1"
"서울시흥초 삼거리(동쪽)","서울 금천구 시흥동 1000-81","4","1","","2","0","0","0"
"디지털3단지(롯데IT캐슬1동)","서울 금천구 가산동 371-27","7","0","","0","0","0","0"
"관악농협 삼거리","서울 금천구 독산동 148-23","4","0","","1","0","0","0"
"남부여성발전센터 부근(북서)","서울 금천구 시흥동 21-5","5","0","","0","0","0","0"
"관악농협신독산지점 앞 삼거리","서울 금천구 독산동 148-23","3","1","","1","0","0","0"
"박미삼거리(백산초 북서)","서울 금천구 시흥동 1000-92","4","0","","0","0","0","0"
"창동교 동단 사거리","서울 노원구 상계동 739","19","0","","0","3","0","0"
"중계역사거리","서울 노원구 덕릉로 553","12","1","","0","0","0","0"
"태릉입구역 사거리(7호선)","서울 노원구 공릉동 678-1","14","0","","0","1","0","0"
"중계경남아너스빌 앞(102동)","서울 노원구 중계동 136-1","10","1","","0","2","0","1"
"수락산역 부근(4번출구)","서울 노원구 상계동 1118-77","7","0","","0","1","0","0"
"하계역 사거리","서울 노원구 동일로 지하 1196","12","0","","0","0","0","0"
"공릉역 사거리","서울 노원구 동일로 지하 1074","11","0","","0","2","0","1"
"롯데백화점 앞 사거리(상계2동)","서울 노원구 노해로 476-2","8","1","","2","0","0","0"
"신도2차아파트 부근 사거리(북동)","서울 노원구 동일로193길 7","9","1","","0","0","0","0"
"녹천교 동단 사거리","서울 노원구 상계동 769-4","10","0","","0","2","0","0"
"불암현대아파트 부근(서북)","서울특별시 노원구 덕릉로118길 27","10","0","","0","0","0","0"
"화랑대사거리(공릉2치안센터)","서울 노원구 노원로1길 2","9","0","","0","2","0","0"
"인덕대학입구교차로","서울 노원구 초안산로 12","11","0","","0","2","0","1"
"월계주공1단지(108동 서쪽)","서울 노원구 월계로49길 5","4","0","","2","0","0","1"
"공릉우성아파트 부근(서남)","서울 노원구 동일로198길 24","10","0","","3","0","0","0"
"중계근린공원 사거리(북쪽)","서울 노원구 동일로 1229","6","0","","1","0","0","0"
"상계2동주민센터 부근(남동)","서울 노원구 상계로 118","10","0","","1","0","0","0"
"하계역 사거리","서울 노원구 동일로 지하 1196","10","0","","0","1","0","0"
"노일초 사거리(북동)","서울특별시 노원구 동일로 1625","8","0","","1","0","0","0"
"롯데백화점 앞 사거리(상계2동)","서울 노원구 동일로 1413","9","0","","1","1","0","0"
"대진고등학교 사거리","서울 노원구 공릉로62가길 47","10","0","","0","0","0","0"
"수락산입구역 사거리(5번출구)","서울 노원구 동일로 지하 1662","8","1","","1","0","0","0"
"순복음노원교회 앞 삼거리","서울 노원구 노원로 440","7","0","","0","0","0","1"
"메디아이여성병원 부근(북쪽)","서울 노원구 노원로 448","9","0","","0","0","0","0"
"두산아파트 앞 사거리(101동)","서울 노원구 동일로241길 53","7","0","","1","1","0","0"
"공릉초 부근 사거리(북쪽)","서울 노원구 동일로173길 12","9","0","","0","1","0","1"
