지역구,지점명,도로명,중앙선침범,신호위반,안전거리미확보,불법유턴,과속,안전운전불이행,교차로위반,보행자보호위반,차로위반,직진우회전방해,기타,합계
송파구,서울지방경찰청 제3기동단(서남),서울 송파구 문정동 392-19,0,3,3,0,0,3,3,0,0,0,0,12
송파구,삼성교사거리(삼성교 동단),서울 송파구 잠실동 5,0,3,3,0,0,2,1,0,1,0,0,10
송파구,금호아파트 삼거리(101동 앞),서울 송파구 송파대로32길 15,0,1,1,0,0,6,0,0,0,0,1,9
송파구,송파1동 주민센터 앞 사거리,서울 송파구 송파동 1,0,1,0,0,0,5,0,0,0,1,1,8
송파구,삼전동주민센터 사거리(북쪽),서울 송파구 삼전동 86,2,0,1,0,0,6,1,0,0,0,0,10
송파구,복정역 사거리,서울 송파구 장지동 596-7,0,3,2,0,0,3,0,0,0,0,0,8
송파구,강동구청역 앞 사거리,서울 강동구 성내동 319-40,0,0,1,0,0,2,0,0,1,0,0,4
송파구,올림픽훼미리타운(110동 동쪽),서울특별시 송파구 중대로 24,0,4,2,0,0,4,0,0,1,0,0,11
송파구,종합운동장사거리(아시아공원),서울 송파구 잠실동 124,0,4,1,0,0,4,1,0,0,0,0,10
송파구,평화의문삼거리(몽촌토성역),서울 송파구 방이동 94-3,0,2,0,1,0,3,0,1,0,0,2,9
송파구,동부센트레빌 앞(101동),서울 송파구 송파대로37길 29,0,1,0,0,0,5,0,0,0,0,0,6
송파구,복정역 부근 사거리(남쪽),서울 송파구 장지동 595-10,0,3,0,0,0,1,1,0,0,0,0,5
송파구,가락시장역 8번출구 사거리,서울 송파구 가락동 214-15,0,0,0,0,0,7,1,0,0,0,0,8
송파구,오륜삼거리,서울특별시 송파구 동남로 341,0,2,5,0,0,4,1,1,0,0,0,13
송파구,건영아파트 사거리(101동 북서),서울 송파구 문정동 72,0,3,3,0,0,4,0,1,0,0,0,11
송파구,거여역 7번출구 사거리,서울 송파구 거여동 20-14,0,1,1,0,0,8,0,0,0,0,0,10
송파구,신천역 앞 사거리(2번출구),서울 송파구 잠실동 34,0,1,0,0,0,5,1,0,0,0,1,8
송파구,근린공원 앞 사거리,서울 송파구 문정동 305-24,0,5,1,0,0,3,0,1,0,0,1,11
송파구,풍납사거리(풍납현대101동),서울 송파구 풍납동 465-1,0,3,2,0,0,1,1,0,0,0,0,7
송파구,광평교 동단 사거리,서울 송파구 가락동 632-1,0,3,2,0,0,3,0,0,0,0,0,8
